#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCHE	F10	9606.ENSP00000264381	9606.ENSP00000364709	0	0	0	0	0.063	0.052	0	0.444	0.463
BCHE	CYP3A4	9606.ENSP00000264381	9606.ENSP00000498939	0	0.021	0	0	0.056	0	0	0.455	0.464
BCHE	SLC6A3	9606.ENSP00000264381	9606.ENSP00000270349	0	0	0	0	0	0	0	0.475	0.475
BCHE	F2	9606.ENSP00000264381	9606.ENSP00000308541	0	0	0	0	0.134	0.052	0	0.670	0.706
BCHE	MAOA	9606.ENSP00000264381	9606.ENSP00000340684	0	0	0	0	0.105	0	0	0.744	0.762
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0	0	0.586	0.094	0.647	0.700	0.539	0.949
BRAF	MAPK14	9606.ENSP00000419060	9606.ENSP00000229795	0	0	0	0.605	0.074	0.110	0	0.391	0.455
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0	0	0.579	0.087	0.653	0.700	0.632	0.960
BRAF	BRD4	9606.ENSP00000419060	9606.ENSP00000263377	0	0	0	0	0.067	0	0	0.426	0.441
BRAF	PIK3CA	9606.ENSP00000419060	9606.ENSP00000263967	0	0	0	0	0.128	0.190	0	0.931	0.947
BRAF	EGFR	9606.ENSP00000419060	9606.ENSP00000275493	0	0	0	0.571	0	0.255	0	0.486	0.601
BRAF	PPARG	9606.ENSP00000419060	9606.ENSP00000287820	0	0	0	0	0	0.071	0	0.660	0.671
BRAF	GSK3B	9606.ENSP00000419060	9606.ENSP00000324806	0	0	0	0.577	0.049	0	0.900	0.283	0.925
BRAF	HSP90AA1	9606.ENSP00000419060	9606.ENSP00000335153	0	0	0	0	0	0.784	0	0.933	0.984
BRAF	RET	9606.ENSP00000419060	9606.ENSP00000347942	0	0	0	0.582	0.052	0.091	0	0.421	0.457
BRAF	CACNA1G	9606.ENSP00000419060	9606.ENSP00000352011	0	0	0	0	0	0	0	0.507	0.507
BRAF	MTOR	9606.ENSP00000419060	9606.ENSP00000354558	0	0	0	0	0.062	0.073	0	0.634	0.654
BRAF	SRC	9606.ENSP00000419060	9606.ENSP00000362680	0	0	0.121	0.652	0.057	0.318	0.400	0.606	0.842
BRAF	PIK3CD	9606.ENSP00000419060	9606.ENSP00000366563	0	0	0	0	0.052	0.069	0	0.409	0.433
BRAF	RPS6KA3	9606.ENSP00000419060	9606.ENSP00000368884	0	0	0	0.561	0.113	0.070	0	0.543	0.591
BRAF	JAK2	9606.ENSP00000419060	9606.ENSP00000371067	0	0	0	0.573	0.058	0.101	0.400	0.280	0.585
BRAF	IDH1	9606.ENSP00000419060	9606.ENSP00000390265	0	0	0	0	0.086	0	0	0.789	0.799
BRAF	FGFR1	9606.ENSP00000419060	9606.ENSP00000393312	0	0	0	0.574	0.052	0.091	0	0.362	0.402
BRAF	ESR1	9606.ENSP00000419060	9606.ENSP00000405330	0	0	0	0	0	0.071	0	0.738	0.746
BRAF	IDO1	9606.ENSP00000419060	9606.ENSP00000430950	0	0	0	0	0	0	0	0.447	0.447
BRAF	PIK3CB	9606.ENSP00000419060	9606.ENSP00000501150	0	0	0	0	0.078	0.069	0	0.525	0.557
BRAF	PIK3CG	9606.ENSP00000419060	9606.ENSP00000419260	0	0	0	0	0.046	0.069	0	0.553	0.569
BRAF	NTRK1	9606.ENSP00000419060	9606.ENSP00000431418	0	0	0	0.567	0.050	0.095	0.500	0.334	0.675
BRAF	PTPN11	9606.ENSP00000419060	9606.ENSP00000489597	0	0	0	0	0.049	0.098	0	0.852	0.862
BRD4	MAPK1	9606.ENSP00000263377	9606.ENSP00000215832	0	0	0	0	0.050	0.330	0	0.226	0.465
BRD4	CSNK2A1	9606.ENSP00000263377	9606.ENSP00000217244	0	0	0	0	0.067	0.566	0	0.173	0.636
BRD4	FLT3	9606.ENSP00000263377	9606.ENSP00000241453	0	0	0	0	0	0	0	0.400	0.400
BRD4	CHEK2	9606.ENSP00000263377	9606.ENSP00000372023	0	0	0	0	0.056	0.208	0	0.277	0.412
BRD4	PLAU	9606.ENSP00000263377	9606.ENSP00000361850	0	0	0	0	0	0	0	0.431	0.431
BRD4	PTPN11	9606.ENSP00000263377	9606.ENSP00000489597	0	0	0	0	0.060	0.306	0	0.202	0.434
BRD4	ESR1	9606.ENSP00000263377	9606.ENSP00000405330	0	0	0	0	0	0.045	0	0.498	0.500
BRD4	CDK2	9606.ENSP00000263377	9606.ENSP00000266970	0	0	0	0	0.063	0.292	0	0.376	0.549
BRD4	EGFR	9606.ENSP00000263377	9606.ENSP00000275493	0	0	0	0	0.042	0.240	0	0.491	0.597
BRD4	PRKDC	9606.ENSP00000263377	9606.ENSP00000313420	0	0	0	0	0.060	0.523	0	0.245	0.632
BRD4	HSP90AA1	9606.ENSP00000263377	9606.ENSP00000335153	0	0	0	0	0.049	0.513	0	0.357	0.676
BRD4	PLK1	9606.ENSP00000263377	9606.ENSP00000300093	0	0	0	0	0.077	0	0	0.667	0.679
BRD4	KDM1A	9606.ENSP00000263377	9606.ENSP00000383042	0	0	0	0	0.080	0.292	0	0.729	0.808
BRD4	DOT1L	9606.ENSP00000263377	9606.ENSP00000381657	0	0	0	0	0.070	0	0	0.868	0.873
BTK	PIK3CA	9606.ENSP00000483570	9606.ENSP00000263967	0	0	0	0	0.057	0.069	0.900	0.461	0.946
BTK	EGFR	9606.ENSP00000483570	9606.ENSP00000275493	0	0	0	0.636	0.042	0.091	0	0.418	0.449
BTK	F2	9606.ENSP00000483570	9606.ENSP00000308541	0	0	0	0	0	0.096	0.500	0.147	0.580
BTK	HSP90AA1	9606.ENSP00000483570	9606.ENSP00000335153	0	0	0	0	0.047	0.594	0	0.326	0.716
BTK	MTOR	9606.ENSP00000483570	9606.ENSP00000354558	0	0	0	0	0.047	0.073	0	0.522	0.541
BTK	PIK3CD	9606.ENSP00000483570	9606.ENSP00000366563	0	0	0	0	0.112	0.069	0.900	0.770	0.978
BTK	PIK3CG	9606.ENSP00000483570	9606.ENSP00000419260	0	0	0	0	0.262	0.069	0	0.551	0.665
BTK	LCK	9606.ENSP00000483570	9606.ENSP00000477713	0	0	0.093	0.863	0.126	0	0.500	0.449	0.752
BTK	JAK1	9606.ENSP00000483570	9606.ENSP00000499900	0	0	0	0.607	0.093	0.292	0	0.223	0.457
BTK	PTPN11	9606.ENSP00000483570	9606.ENSP00000489597	0	0	0	0	0.138	0.097	0	0.427	0.516
BTK	PIK3CB	9606.ENSP00000483570	9606.ENSP00000501150	0	0	0	0	0.057	0.069	0.900	0.433	0.943
CACNA1G	CACNA1H	9606.ENSP00000352011	9606.ENSP00000334198	0	0	0.069	0.942	0.050	0	0.900	0.446	0.944
CACNA1G	PDE4B	9606.ENSP00000352011	9606.ENSP00000342637	0	0	0	0	0	0	0.540	0.051	0.544
CACNA1G	ESR2	9606.ENSP00000352011	9606.ENSP00000343925	0	0	0	0	0.049	0	0.900	0.248	0.922
CACNA1G	PDE4D	9606.ENSP00000352011	9606.ENSP00000345502	0	0	0	0	0	0	0.540	0.065	0.551
CACNA1H	CYP11B1	9606.ENSP00000334198	9606.ENSP00000292427	0	0	0	0	0.047	0	0	0.477	0.480
CACNA1H	PDE4D	9606.ENSP00000334198	9606.ENSP00000345502	0	0	0	0	0.044	0	0.540	0.068	0.554
CACNA1H	PDE4B	9606.ENSP00000334198	9606.ENSP00000342637	0	0	0	0	0	0	0.540	0.084	0.560
CACNA1H	ESR2	9606.ENSP00000334198	9606.ENSP00000343925	0	0	0	0	0	0	0.900	0.177	0.914
CDK2	CSNK2A1	9606.ENSP00000266970	9606.ENSP00000217244	0	0	0	0.774	0.084	0.200	0	0.428	0.545
CDK2	MAPK14	9606.ENSP00000266970	9606.ENSP00000229795	0	0	0.082	0.852	0.062	0.131	0	0.462	0.543
CDK2	KDR	9606.ENSP00000266970	9606.ENSP00000263923	0	0	0	0.601	0.051	0	0	0.426	0.432
CDK2	PIK3CA	9606.ENSP00000266970	9606.ENSP00000263967	0	0	0	0	0	0	0	0.448	0.448
CDK2	JAK3	9606.ENSP00000266970	9606.ENSP00000432511	0	0	0	0.631	0.110	0.098	0	0.325	0.411
CDK2	CYP19A1	9606.ENSP00000266970	9606.ENSP00000379683	0	0	0	0	0.070	0	0	0.403	0.421
CDK2	DRD2	9606.ENSP00000266970	9606.ENSP00000354859	0	0	0	0	0.087	0	0	0.397	0.426
CDK2	PPARG	9606.ENSP00000266970	9606.ENSP00000287820	0	0	0	0	0	0.045	0	0.428	0.431
CDK2	F2	9606.ENSP00000266970	9606.ENSP00000308541	0	0	0	0	0.107	0	0	0.392	0.433
CDK2	NEK2	9606.ENSP00000266970	9606.ENSP00000355966	0	0	0.136	0.708	0.274	0	0	0.186	0.445
CDK2	MAPK8	9606.ENSP00000266970	9606.ENSP00000378974	0	0	0.085	0.830	0.049	0.065	0	0.422	0.467
CDK2	TYK2	9606.ENSP00000266970	9606.ENSP00000431885	0	0	0	0.665	0.117	0.098	0	0.414	0.493
CDK2	PRKDC	9606.ENSP00000266970	9606.ENSP00000313420	0	0	0	0	0.118	0.091	0	0.439	0.511
CDK2	JAK1	9606.ENSP00000266970	9606.ENSP00000499900	0	0	0	0.677	0.117	0.098	0	0.443	0.518
CDK2	NTRK1	9606.ENSP00000266970	9606.ENSP00000431418	0	0	0.103	0.624	0	0.115	0	0.462	0.536
CDK2	EGFR	9606.ENSP00000266970	9606.ENSP00000275493	0	0	0	0.622	0.042	0	0	0.565	0.566
CDK2	MTOR	9606.ENSP00000266970	9606.ENSP00000354558	0	0	0	0	0.062	0.068	0	0.563	0.585
CDK2	CHEK2	9606.ENSP00000266970	9606.ENSP00000372023	0	0	0.103	0.677	0.102	0.305	0	0.352	0.589
CDK2	ESR1	9606.ENSP00000266970	9606.ENSP00000405330	0	0	0	0	0	0.294	0	0.612	0.714
CDK2	PLK1	9606.ENSP00000266970	9606.ENSP00000300093	0	0	0	0.628	0.368	0.150	0	0.558	0.742
CDK2	GSK3B	9606.ENSP00000266970	9606.ENSP00000324806	0	0	0	0.827	0.044	0.098	0	0.755	0.770
CDK2	HSP90AA1	9606.ENSP00000266970	9606.ENSP00000335153	0	0	0	0	0.077	0.272	0	0.725	0.799
CHEK2	MAPK1	9606.ENSP00000372023	9606.ENSP00000215832	0	0	0	0.675	0.056	0.612	0	0.154	0.663
CHEK2	MAPK3	9606.ENSP00000372023	9606.ENSP00000263025	0	0	0	0.681	0.056	0.620	0	0.183	0.682
CHEK2	PIK3CA	9606.ENSP00000372023	9606.ENSP00000263967	0	0	0	0	0.059	0	0	0.507	0.516
CHEK2	PLK1	9606.ENSP00000372023	9606.ENSP00000300093	0	0	0	0.613	0.181	0.726	0	0.590	0.900
CHEK2	PRKDC	9606.ENSP00000372023	9606.ENSP00000313420	0	0	0	0	0.063	0.553	0	0.861	0.937
CHEK2	HSP90AA1	9606.ENSP00000372023	9606.ENSP00000335153	0	0	0	0	0.049	0.071	0	0.401	0.425
CHEK2	MTOR	9606.ENSP00000372023	9606.ENSP00000354558	0	0	0	0	0.049	0.127	0	0.406	0.464
CHEK2	DOT1L	9606.ENSP00000372023	9606.ENSP00000381657	0	0	0	0	0	0.073	0	0.409	0.429
CHEK2	ESR1	9606.ENSP00000372023	9606.ENSP00000405330	0	0	0	0	0	0	0	0.538	0.538
CHRM2	SLC6A2	9606.ENSP00000399745	9606.ENSP00000219833	0	0	0	0	0.050	0	0	0.569	0.573
CHRM2	SLC6A4	9606.ENSP00000399745	9606.ENSP00000261707	0	0	0	0	0.043	0	0	0.683	0.683
CHRM2	SLC6A3	9606.ENSP00000399745	9606.ENSP00000270349	0	0	0	0	0.043	0	0	0.486	0.487
CHRM2	DRD2	9606.ENSP00000399745	9606.ENSP00000354859	0	0	0	0.690	0.063	0	0	0.426	0.439
CHRM2	SRC	9606.ENSP00000399745	9606.ENSP00000362680	0	0	0	0	0	0	0.500	0.097	0.529
CHRM2	PIK3CG	9606.ENSP00000399745	9606.ENSP00000419260	0	0	0	0	0	0	0.650	0.199	0.708
CSNK2A1	MAPK1	9606.ENSP00000217244	9606.ENSP00000215832	0	0	0	0.714	0.144	0.335	0	0.433	0.649
CSNK2A1	LCK	9606.ENSP00000217244	9606.ENSP00000477713	0	0	0	0.569	0.064	0.062	0	0.407	0.434
CSNK2A1	CYP19A1	9606.ENSP00000217244	9606.ENSP00000379683	0	0	0	0	0	0.075	0	0.424	0.445
CSNK2A1	GSK3A	9606.ENSP00000217244	9606.ENSP00000222330	0	0	0	0.698	0.062	0.062	0	0.421	0.446
CSNK2A1	ESR2	9606.ENSP00000217244	9606.ENSP00000343925	0	0	0	0	0	0	0	0.447	0.447
CSNK2A1	EPHX2	9606.ENSP00000217244	9606.ENSP00000430269	0	0	0	0	0.048	0.065	0	0.449	0.467
CSNK2A1	GSK3B	9606.ENSP00000217244	9606.ENSP00000324806	0	0	0	0.697	0.084	0.062	0	0.460	0.496
CSNK2A1	PRKDC	9606.ENSP00000217244	9606.ENSP00000313420	0	0	0	0	0.098	0.315	0	0.259	0.503
CSNK2A1	ESR1	9606.ENSP00000217244	9606.ENSP00000405330	0	0	0	0	0	0	0	0.504	0.504
CSNK2A1	SRC	9606.ENSP00000217244	9606.ENSP00000362680	0	0	0	0.572	0.042	0.373	0	0.424	0.623
CSNK2A1	MAPK14	9606.ENSP00000217244	9606.ENSP00000229795	0	0	0	0.713	0.150	0.335	0	0.418	0.643
CSNK2A1	KDM1A	9606.ENSP00000217244	9606.ENSP00000383042	0	0	0	0	0.099	0.587	0	0.132	0.649
CSNK2A1	HSP90AA1	9606.ENSP00000217244	9606.ENSP00000335153	0	0	0	0	0.164	0.789	0	0.375	0.880
CTSD	ESR2	9606.ENSP00000236671	9606.ENSP00000343925	0	0	0	0	0.055	0	0	0.401	0.410
CTSD	HSP90AA1	9606.ENSP00000236671	9606.ENSP00000335153	0	0	0	0	0.054	0.054	0	0.402	0.419
CTSD	MTOR	9606.ENSP00000236671	9606.ENSP00000354558	0	0	0	0	0.042	0.066	0	0.444	0.459
CTSD	EGFR	9606.ENSP00000236671	9606.ENSP00000275493	0	0	0	0	0.042	0.100	0	0.433	0.468
CTSD	PLAU	9606.ENSP00000236671	9606.ENSP00000361850	0	0	0	0	0.063	0.046	0	0.700	0.709
CTSD	ESR1	9606.ENSP00000236671	9606.ENSP00000405330	0	0	0	0	0.055	0	0.500	0.597	0.793
CYP11B1	CYP3A4	9606.ENSP00000292427	9606.ENSP00000498939	0	0	0.238	0.595	0.055	0.099	0	0.214	0.422
CYP11B1	CYP19A1	9606.ENSP00000292427	9606.ENSP00000379683	0	0	0.249	0.570	0.067	0.067	0.900	0.346	0.949
CYP19A1	CYP2C9	9606.ENSP00000379683	9606.ENSP00000260682	0	0	0.249	0.575	0.042	0.052	0.120	0.245	0.465
CYP19A1	MAPK3	9606.ENSP00000379683	9606.ENSP00000263025	0	0	0	0	0.055	0.138	0	0.464	0.525
CYP19A1	PIK3CA	9606.ENSP00000379683	9606.ENSP00000263967	0	0	0	0	0	0	0	0.517	0.517
CYP19A1	EGFR	9606.ENSP00000379683	9606.ENSP00000275493	0	0	0	0	0.086	0	0	0.608	0.626
CYP19A1	PPARG	9606.ENSP00000379683	9606.ENSP00000287820	0	0	0	0	0.044	0.056	0	0.508	0.518
CYP19A1	ESR2	9606.ENSP00000379683	9606.ENSP00000343925	0	0	0	0	0.048	0.056	0	0.923	0.925
CYP19A1	MTOR	9606.ENSP00000379683	9606.ENSP00000354558	0	0	0	0	0	0	0	0.507	0.507
CYP19A1	CYP2C19	9606.ENSP00000379683	9606.ENSP00000360372	0	0	0.249	0.574	0.047	0.052	0.120	0.318	0.519
CYP19A1	SRC	9606.ENSP00000379683	9606.ENSP00000362680	0	0	0	0	0.104	0.051	0	0.436	0.478
CYP19A1	ESR1	9606.ENSP00000379683	9606.ENSP00000405330	0	0	0	0	0.042	0.056	0	0.925	0.927
CYP19A1	CYP3A4	9606.ENSP00000379683	9606.ENSP00000498939	0	0	0.248	0.580	0.042	0.062	0.909	0.307	0.950
CYP2C19	CYP2C9	9606.ENSP00000360372	9606.ENSP00000260682	0	0	0.048	0.985	0.514	0.661	0.900	0.370	0.988
CYP2C19	SLC6A4	9606.ENSP00000360372	9606.ENSP00000261707	0	0	0	0	0.051	0	0	0.555	0.560
CYP2C19	MAOA	9606.ENSP00000360372	9606.ENSP00000340684	0	0	0	0	0.062	0	0.900	0.496	0.948
CYP2C19	PTGS1	9606.ENSP00000360372	9606.ENSP00000354612	0	0	0	0	0.056	0	0.900	0.369	0.935
CYP2C19	OPRM1	9606.ENSP00000360372	9606.ENSP00000394624	0	0	0	0	0.054	0	0	0.403	0.411
CYP2C19	IDO1	9606.ENSP00000360372	9606.ENSP00000430950	0	0	0	0	0.056	0	0	0.414	0.423
CYP2C19	EPHX2	9606.ENSP00000360372	9606.ENSP00000430269	0.059	0	0	0	0.057	0.068	0.104	0.602	0.651
CYP2C19	CYP3A4	9606.ENSP00000360372	9606.ENSP00000498939	0	0	0.221	0.634	0.326	0.076	0.906	0.408	0.968
CYP2C9	HSP90AA1	9606.ENSP00000260682	9606.ENSP00000335153	0	0	0	0	0.054	0.091	0	0.363	0.405
CYP2C9	PPARA	9606.ENSP00000260682	9606.ENSP00000385523	0	0	0	0	0	0.056	0	0.427	0.436
CYP2C9	MAOA	9606.ENSP00000260682	9606.ENSP00000340684	0	0	0	0	0.070	0	0	0.441	0.458
CYP2C9	F2	9606.ENSP00000260682	9606.ENSP00000308541	0	0	0	0	0.117	0.078	0	0.546	0.598
CYP2C9	SLC6A4	9606.ENSP00000260682	9606.ENSP00000261707	0	0	0	0	0.051	0	0	0.624	0.628
CYP2C9	F7	9606.ENSP00000260682	9606.ENSP00000364731	0	0	0	0	0.074	0.078	0	0.616	0.643
CYP2C9	PTGS1	9606.ENSP00000260682	9606.ENSP00000354612	0	0	0	0	0.056	0	0.900	0.379	0.936
CYP2C9	EPHX2	9606.ENSP00000260682	9606.ENSP00000430269	0.059	0	0	0	0.063	0.068	0.906	0.645	0.967
CYP2C9	CYP3A4	9606.ENSP00000260682	9606.ENSP00000498939	0	0	0.216	0.644	0.446	0.317	0.906	0.401	0.980
CYP3A4	SLC6A4	9606.ENSP00000498939	9606.ENSP00000261707	0	0	0	0	0.058	0	0	0.610	0.617
CYP3A4	EGFR	9606.ENSP00000498939	9606.ENSP00000275493	0	0	0	0	0.048	0	0	0.474	0.477
CYP3A4	PPARG	9606.ENSP00000498939	9606.ENSP00000287820	0	0	0	0	0.063	0.071	0	0.428	0.459
CYP3A4	F2	9606.ENSP00000498939	9606.ENSP00000308541	0	0	0	0	0.138	0.071	0	0.508	0.572
CYP3A4	MAOA	9606.ENSP00000498939	9606.ENSP00000340684	0	0	0	0	0.086	0	0.900	0.536	0.953
CYP3A4	PDE5A	9606.ENSP00000498939	9606.ENSP00000347046	0	0	0	0	0	0.063	0	0.434	0.446
CYP3A4	MTOR	9606.ENSP00000498939	9606.ENSP00000354558	0	0	0	0	0	0	0	0.400	0.400
CYP3A4	DRD2	9606.ENSP00000498939	9606.ENSP00000354859	0	0	0	0	0	0	0	0.593	0.593
CYP3A4	F10	9606.ENSP00000498939	9606.ENSP00000364709	0	0	0	0	0.124	0.071	0	0.374	0.446
CYP3A4	PPARA	9606.ENSP00000498939	9606.ENSP00000385523	0	0	0	0	0.080	0.071	0	0.514	0.549
CYP3A4	OPRM1	9606.ENSP00000498939	9606.ENSP00000394624	0	0	0	0	0.049	0	0	0.525	0.528
CYP3A4	ESR1	9606.ENSP00000498939	9606.ENSP00000405330	0	0	0	0	0.051	0.071	0	0.667	0.681
CYP3A4	EPHX2	9606.ENSP00000498939	9606.ENSP00000430269	0.059	0	0	0	0.069	0.068	0.104	0.341	0.431
DHODH	LDHA	9606.ENSP00000219240	9606.ENSP00000445175	0.057	0	0	0	0.072	0	0	0.464	0.490
DOT1L	FLT3	9606.ENSP00000381657	9606.ENSP00000241453	0	0	0	0	0	0	0	0.447	0.447
DOT1L	IDH1	9606.ENSP00000381657	9606.ENSP00000390265	0	0	0	0	0.044	0	0	0.431	0.432
DOT1L	KDM1A	9606.ENSP00000381657	9606.ENSP00000383042	0	0	0	0	0.049	0	0	0.685	0.688
DRD2	SLC6A2	9606.ENSP00000354859	9606.ENSP00000219833	0	0	0	0	0.068	0.052	0	0.617	0.632
DRD2	SLC6A4	9606.ENSP00000354859	9606.ENSP00000261707	0	0	0	0	0.054	0	0	0.908	0.910
DRD2	SLC6A3	9606.ENSP00000354859	9606.ENSP00000270349	0	0	0	0	0.054	0.380	0.900	0.995	0.999
DRD2	EGFR	9606.ENSP00000354859	9606.ENSP00000275493	0	0	0	0	0	0.106	0	0.472	0.508
DRD2	GRK2	9606.ENSP00000354859	9606.ENSP00000312262	0	0	0	0	0.081	0.097	0	0.480	0.531
DRD2	GSK3B	9606.ENSP00000354859	9606.ENSP00000324806	0	0	0	0	0	0.057	0	0.448	0.458
DRD2	MAOA	9606.ENSP00000354859	9606.ENSP00000340684	0	0	0	0	0	0	0	0.736	0.736
DRD2	PTPN11	9606.ENSP00000354859	9606.ENSP00000489597	0	0	0	0	0.065	0	0	0.411	0.425
DRD2	NTRK1	9606.ENSP00000354859	9606.ENSP00000431418	0	0	0	0	0.056	0	0	0.447	0.456
DRD2	PDE10A	9606.ENSP00000354859	9606.ENSP00000355847	0	0	0	0	0.111	0.046	0	0.496	0.536
DRD2	OPRM1	9606.ENSP00000354859	9606.ENSP00000394624	0	0	0	0.585	0.085	0.322	0	0.342	0.556
DRD2	ESR1	9606.ENSP00000354859	9606.ENSP00000405330	0	0	0	0	0.055	0	0	0.587	0.593
DYRK1A	PLK1	9606.ENSP00000340373	9606.ENSP00000300093	0	0	0	0.554	0.053	0.381	0	0.210	0.496
DYRK1A	GSK3B	9606.ENSP00000340373	9606.ENSP00000324806	0	0	0	0.672	0.105	0.095	0	0.782	0.808
DYRK1A	HSP90AA1	9606.ENSP00000340373	9606.ENSP00000335153	0	0	0	0	0	0	0	0.529	0.529
DYRK1A	MAOA	9606.ENSP00000340373	9606.ENSP00000340684	0	0	0	0	0	0	0	0.400	0.400
EGFR	MAPK1	9606.ENSP00000275493	9606.ENSP00000215832	0	0	0	0.579	0.047	0.042	0	0.609	0.612
EGFR	MAPK14	9606.ENSP00000275493	9606.ENSP00000229795	0	0	0	0.579	0.042	0.600	0	0.519	0.799
EGFR	FLT3	9606.ENSP00000275493	9606.ENSP00000241453	0	0	0	0.579	0.067	0.139	0	0.531	0.591
EGFR	MAPK3	9606.ENSP00000275493	9606.ENSP00000263025	0	0	0	0.582	0.042	0.230	0	0.411	0.528
EGFR	KDR	9606.ENSP00000275493	9606.ENSP00000263923	0	0	0	0.564	0.075	0.139	0	0.774	0.805
EGFR	PIK3CA	9606.ENSP00000275493	9606.ENSP00000263967	0	0	0	0	0	0.790	0.900	0.976	0.999
EGFR	PTGS1	9606.ENSP00000275493	9606.ENSP00000354612	0	0	0	0	0.057	0	0	0.396	0.406
EGFR	PPARA	9606.ENSP00000275493	9606.ENSP00000385523	0	0	0	0	0.079	0.092	0	0.374	0.431
EGFR	LDHA	9606.ENSP00000275493	9606.ENSP00000445175	0	0	0	0	0.049	0	0	0.447	0.451
EGFR	FGFR1	9606.ENSP00000275493	9606.ENSP00000393312	0	0	0	0.604	0.067	0.215	0	0.346	0.479
EGFR	OPRM1	9606.ENSP00000275493	9606.ENSP00000394624	0	0	0	0	0	0.048	0	0.491	0.494
EGFR	IDO1	9606.ENSP00000275493	9606.ENSP00000430950	0	0	0	0	0	0	0	0.507	0.507
EGFR	GSK3B	9606.ENSP00000275493	9606.ENSP00000324806	0	0	0	0.568	0.047	0.091	0	0.548	0.574
EGFR	PLAU	9606.ENSP00000275493	9606.ENSP00000361850	0	0	0	0	0.083	0	0	0.571	0.589
EGFR	PPARD	9606.ENSP00000275493	9606.ENSP00000310928	0	0	0	0	0.048	0.092	0	0.579	0.604
EGFR	NTRK1	9606.ENSP00000275493	9606.ENSP00000431418	0	0	0	0.603	0.107	0.109	0	0.571	0.628
EGFR	GRK2	9606.ENSP00000275493	9606.ENSP00000312262	0	0	0	0	0.042	0.510	0	0.334	0.660
EGFR	PRKCZ	9606.ENSP00000275493	9606.ENSP00000367830	0	0	0	0.559	0	0.640	0	0.218	0.707
EGFR	LCK	9606.ENSP00000275493	9606.ENSP00000477713	0	0	0	0.677	0.044	0.253	0.400	0.482	0.748
EGFR	PIK3CG	9606.ENSP00000275493	9606.ENSP00000419260	0	0	0	0	0	0	0	0.748	0.748
EGFR	ESR2	9606.ENSP00000275493	9606.ENSP00000343925	0	0	0	0	0	0.329	0	0.650	0.755
EGFR	PAK1	9606.ENSP00000275493	9606.ENSP00000278568	0	0	0	0.579	0.063	0.718	0	0.210	0.773
EGFR	IDH1	9606.ENSP00000275493	9606.ENSP00000390265	0	0	0	0	0.042	0	0	0.795	0.795
EGFR	MTOR	9606.ENSP00000275493	9606.ENSP00000354558	0	0	0	0	0.042	0.181	0	0.769	0.802
EGFR	TYK2	9606.ENSP00000275493	9606.ENSP00000431885	0	0	0	0.569	0	0.095	0.650	0.482	0.821
EGFR	RET	9606.ENSP00000275493	9606.ENSP00000347942	0	0	0	0.594	0	0.735	0	0.369	0.826
EGFR	MAPK8	9606.ENSP00000275493	9606.ENSP00000378974	0	0	0	0.567	0.047	0.621	0	0.567	0.830
EGFR	PPARG	9606.ENSP00000275493	9606.ENSP00000287820	0	0	0	0	0.112	0.329	0	0.758	0.843
EGFR	PRKDC	9606.ENSP00000275493	9606.ENSP00000313420	0	0	0	0	0.044	0.361	0	0.904	0.936
EGFR	PIK3CD	9606.ENSP00000275493	9606.ENSP00000366563	0	0	0	0	0.042	0	0.900	0.443	0.942
EGFR	JAK3	9606.ENSP00000275493	9606.ENSP00000432511	0	0	0	0.583	0	0.161	0.900	0.522	0.956
EGFR	JAK1	9606.ENSP00000275493	9606.ENSP00000499900	0	0	0	0.572	0.045	0.417	0.900	0.537	0.970
EGFR	JAK2	9606.ENSP00000275493	9606.ENSP00000371067	0	0	0	0.576	0	0.723	0.900	0.564	0.986
EGFR	ESR1	9606.ENSP00000275493	9606.ENSP00000405330	0	0	0	0	0	0.583	0	0.974	0.988
EGFR	PIK3CB	9606.ENSP00000275493	9606.ENSP00000501150	0	0	0	0	0	0.622	0.900	0.842	0.993
EGFR	MET	9606.ENSP00000275493	9606.ENSP00000317272	0	0	0	0.582	0.250	0.806	0	0.978	0.996
EGFR	PTPN11	9606.ENSP00000275493	9606.ENSP00000489597	0	0	0	0	0.042	0.995	0.900	0.991	0.999
EGFR	HSP90AA1	9606.ENSP00000275493	9606.ENSP00000335153	0	0	0	0	0.049	0.854	0.500	0.993	0.999
EGFR	SRC	9606.ENSP00000275493	9606.ENSP00000362680	0	0	0	0.665	0.042	0.928	0.900	0.988	0.999
EGFR	PTK2	9606.ENSP00000275493	9606.ENSP00000341189	0	0	0	0.597	0.086	0.994	0.900	0.926	0.999
ELANE	KLKB1	9606.ENSP00000466090	9606.ENSP00000264690	0	0	0.171	0.719	0	0	0.400	0.182	0.557
ELANE	F2	9606.ENSP00000466090	9606.ENSP00000308541	0	0	0.177	0.615	0.055	0.053	0.800	0.171	0.855
ELANE	ESR1	9606.ENSP00000466090	9606.ENSP00000405330	0	0	0	0	0	0	0	0.448	0.448
ELANE	PIK3CG	9606.ENSP00000466090	9606.ENSP00000419260	0	0	0	0	0.072	0	0	0.397	0.416
EPHX2	MGLL	9606.ENSP00000430269	9606.ENSP00000265052	0.116	0	0	0	0.063	0	0.116	0.636	0.698
